density	noise_sigma	noise_seed	method	junction	incoming_row	outgoing_col	global_entry	truth	estimate	abs_error
dense	0.01	1	esmda	2	4	4	32	0.1	0.1370979423	0.03709794226
dense	0.01	1	esmda	3	1	1	33	0.16	0.2841012972	0.1241012972
dense	0.01	1	esmda	3	1	2	34	0.18	0.3186724012	0.1386724012
dense	0.01	1	esmda	3	1	3	35	0.42	0.2080708095	0.2119291905
dense	0.01	1	esmda	3	1	4	36	0.24	0.1891554922	0.05084450783
dense	0.01	1	esmda	3	2	1	37	0.1	0.3677309203	0.2677309203
dense	0.01	1	esmda	3	2	2	38	0.22	0.1706717461	0.04932825392
dense	0.01	1	esmda	3	2	3	39	0.18	0.3553373652	0.1753373652
dense	0.01	1	esmda	3	2	4	40	0.5	0.1062599685	0.3937400315
dense	0.01	1	esmda	3	3	1	41	0.44	0.3497318189	0.09026818109
dense	0.01	1	esmda	3	3	2	42	0.18	0.2454895211	0.06548952111
dense	0.01	1	esmda	3	3	3	43	0.1	0.1188951878	0.01889518783
dense	0.01	1	esmda	3	3	4	44	0.28	0.2858834722	0.005883472155
dense	0.01	1	esmda	3	4	1	45	0.22	0.2261667514	0.006166751368
dense	0.01	1	esmda	3	4	2	46	0.4	0.1653402487	0.2346597513
dense	0.01	1	esmda	3	4	3	47	0.26	0.1718639596	0.0881360404
dense	0.01	1	esmda	3	4	4	48	0.12	0.4366290403	0.3166290403
dense	0.01	1	esmda	4	1	1	49	0.12	0.1139437849	0.006056215067
dense	0.01	1	esmda	4	1	2	50	0.16	0.4366212994	0.2766212994
dense	0.01	1	esmda	4	1	3	51	0.54	0.2029602802	0.3370397198
dense	0.01	1	esmda	4	1	4	52	0.18	0.2464746354	0.06647463541
dense	0.01	1	esmda	4	2	1	53	0.16	0.08353707319	0.07646292681
dense	0.01	1	esmda	4	2	2	54	0.1	0.1258400079	0.02584000794
dense	0.01	1	esmda	4	2	3	55	0.2	0.3180501782	0.1180501782
dense	0.01	1	esmda	4	2	4	56	0.54	0.4725727407	0.06742725934
dense	0.01	1	esmda	4	3	1	57	0.46	0.5001685643	0.04016856433
dense	0.01	1	esmda	4	3	2	58	0.24	0.126318035	0.113681965
dense	0.01	1	esmda	4	3	3	59	0.1	0.1767621091	0.07676210907
dense	0.01	1	esmda	4	3	4	60	0.2	0.1967512916	0.003248708356
dense	0.01	1	esmda	4	4	1	61	0.2	0.2495380756	0.0495380756
dense	0.01	1	esmda	4	4	2	62	0.48	0.310033404	0.169966596
dense	0.01	1	esmda	4	4	3	63	0.22	0.3208473766	0.1008473766
dense	0.01	1	esmda	4	4	4	64	0.1	0.1195811438	0.01958114378
dense	0.01	1	map_lbfgs	1	1	1	1	0.1	0.1545756039	0.05457560387
dense	0.01	1	map_lbfgs	1	1	2	2	0.12	0.1675353991	0.04753539914
dense	0.01	1	map_lbfgs	1	1	3	3	0.5	0.3052039236	0.1947960764
dense	0.01	1	map_lbfgs	1	1	4	4	0.28	0.3726850734	0.09268507337
dense	0.01	1	map_lbfgs	1	2	1	5	0.08	0.1287674754	0.04876747535
dense	0.01	1	map_lbfgs	1	2	2	6	0.18	0.1511917681	0.02880823194
dense	0.01	1	map_lbfgs	1	2	3	7	0.22	0.4487416485	0.2287416485
dense	0.01	1	map_lbfgs	1	2	4	8	0.52	0.2712991081	0.2487008919
dense	0.01	1	map_lbfgs	1	3	1	9	0.42	0.3584830083	0.06151699166
dense	0.01	1	map_lbfgs	1	3	2	10	0.24	0.196974501	0.04302549899
dense	0.01	1	map_lbfgs	1	3	3	11	0.08	0.1335193751	0.05351937514
dense	0.01	1	map_lbfgs	1	3	4	12	0.26	0.3110231155	0.05102311551
dense	0.01	1	map_lbfgs	1	4	1	13	0.2	0.1517269283	0.04827307174
dense	0.01	1	map_lbfgs	1	4	2	14	0.46	0.4854371244	0.0254371244
dense	0.01	1	map_lbfgs	1	4	3	15	0.24	0.1796011849	0.06039881506
dense	0.01	1	map_lbfgs	1	4	4	16	0.1	0.1832347624	0.0832347624
dense	0.01	1	map_lbfgs	2	1	1	17	0.18	0.1676878659	0.01231213409
dense	0.01	1	map_lbfgs	2	1	2	18	0.08	0.2603594694	0.1803594694
dense	0.01	1	map_lbfgs	2	1	3	19	0.16	0.2680987974	0.1080987974
dense	0.01	1	map_lbfgs	2	1	4	20	0.58	0.3038538673	0.2761461327
dense	0.01	1	map_lbfgs	2	2	1	21	0.14	0.1210125685	0.01898743155
dense	0.01	1	map_lbfgs	2	2	2	22	0.1	0.2667633387	0.1667633387
dense	0.01	1	map_lbfgs	2	2	3	23	0.56	0.2782489433	0.2817510567
dense	0.01	1	map_lbfgs	2	2	4	24	0.2	0.3339751495	0.1339751495
dense	0.01	1	map_lbfgs	2	3	1	25	0.48	0.4718667087	0.008133291305
dense	0.01	1	map_lbfgs	2	3	2	26	0.2	0.1252238177	0.07477618234
dense	0.01	1	map_lbfgs	2	3	3	27	0.08	0.1492045978	0.06920459785
dense	0.01	1	map_lbfgs	2	3	4	28	0.24	0.2537048758	0.0137048758
dense	0.01	1	map_lbfgs	2	4	1	29	0.18	0.2291246778	0.0491246778
dense	0.01	1	map_lbfgs	2	4	2	30	0.42	0.2737609902	0.1462390098
dense	0.01	1	map_lbfgs	2	4	3	31	0.3	0.2893818149	0.0106181851
dense	0.01	1	map_lbfgs	2	4	4	32	0.1	0.2077325172	0.1077325172
dense	0.01	1	map_lbfgs	3	1	1	33	0.16	0.2476346849	0.08763468493
dense	0.01	1	map_lbfgs	3	1	2	34	0.18	0.2476346849	0.06763468493
dense	0.01	1	map_lbfgs	3	1	3	35	0.42	0.2551910297	0.1648089703
dense	0.01	1	map_lbfgs	3	1	4	36	0.24	0.2495396005	0.009539600485
dense	0.01	1	map_lbfgs	3	2	1	37	0.1	0.2480385583	0.1480385583
dense	0.01	1	map_lbfgs	3	2	2	38	0.22	0.2480385583	0.02803855829
dense	0.01	1	map_lbfgs	3	2	3	39	0.18	0.2543101749	0.07431017491
dense	0.01	1	map_lbfgs	3	2	4	40	0.5	0.2496127085	0.2503872915
dense	0.01	1	map_lbfgs	3	3	1	41	0.44	0.2480099817	0.1919900183
dense	0.01	1	map_lbfgs	3	3	2	42	0.18	0.2480099817	0.06800998168
dense	0.01	1	map_lbfgs	3	3	3	43	0.1	0.2543787507	0.1543787507
dense	0.01	1	map_lbfgs	3	3	4	44	0.28	0.2496012859	0.03039871408
dense	0.01	1	map_lbfgs	3	4	1	45	0.22	0.2474853744	0.0274853744
dense	0.01	1	map_lbfgs	3	4	2	46	0.4	0.2474853744	0.1525146256
dense	0.01	1	map_lbfgs	3	4	3	47	0.26	0.2555289122	0.004471087785
dense	0.01	1	map_lbfgs	3	4	4	48	0.12	0.249500339	0.129500339
dense	0.01	1	map_lbfgs	4	1	1	49	0.12	0.1095636921	0.01043630788
dense	0.01	1	map_lbfgs	4	1	2	50	0.16	0.2388772105	0.07887721055
dense	0.01	1	map_lbfgs	4	1	3	51	0.54	0.3744869294	0.1655130706
dense	0.01	1	map_lbfgs	4	1	4	52	0.18	0.2770721679	0.09707216791
dense	0.01	1	map_lbfgs	4	2	1	53	0.16	0.1188423576	0.04115764235
dense	0.01	1	map_lbfgs	4	2	2	54	0.1	0.1698921912	0.06989219124
dense	0.01	1	map_lbfgs	4	2	3	55	0.2	0.2550111552	0.05501115517
dense	0.01	1	map_lbfgs	4	2	4	56	0.54	0.4562542959	0.08374570406
dense	0.01	1	map_lbfgs	4	3	1	57	0.46	0.4710177458	0.01101774582
dense	0.01	1	map_lbfgs	4	3	2	58	0.24	0.1982472806	0.04175271935
dense	0.01	1	map_lbfgs	4	3	3	59	0.1	0.1358918525	0.03589185253
dense	0.01	1	map_lbfgs	4	3	4	60	0.2	0.194843121	0.005156878997
dense	0.01	1	map_lbfgs	4	4	1	61	0.2	0.2405431066	0.04054310655
dense	0.01	1	map_lbfgs	4	4	2	62	0.48	0.3773246974	0.1026753026
dense	0.01	1	map_lbfgs	4	4	3	63	0.22	0.2746760357	0.05467603571
dense	0.01	1	map_lbfgs	4	4	4	64	0.1	0.1074561603	0.007456160293
dense	0.01	2	esmda	1	1	1	1	0.1	0.245721835	0.145721835
dense	0.01	2	esmda	1	1	2	2	0.12	0.1494244374	0.02942443735
dense	0.01	2	esmda	1	1	3	3	0.5	0.3375359451	0.1624640549
dense	0.01	2	esmda	1	1	4	4	0.28	0.2673177825	0.01268221749
dense	0.01	2	esmda	1	2	1	5	0.08	0.2432008185	0.1632008185
dense	0.01	2	esmda	1	2	2	6	0.18	0.1266976118	0.05330238816
dense	0.01	2	esmda	1	2	3	7	0.22	0.4145435476	0.1945435476
dense	0.01	2	esmda	1	2	4	8	0.52	0.2155580221	0.3044419779
