density	noise_sigma	noise_seed	method	scenario_count	observation_count	observation_multiplier	floor_fraction	mean_clip_fraction	max_clip_fraction	turning_rmse	turning_mae	turning_max_abs_error	turning_rmse_j1	turning_rmse_j2	turning_rmse_j3	turning_rmse_j4	predictive_rmse	fit_rmse	normalized_fit_rmse	weighted_loss	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved	requested_budget	solve_seconds	iterations	ensemble_size	esmda_maxiters	adam_time_limit_seconds	adam_best_loss	adam_final_loss	adam_best_iter	adam_final_raw_grad_norm	adam_loss_tail_relspan	adam_grad_tail_relspan	turning_interval_width_mean	turning_interval_width_max	turning_interval_coverage
minimal	0.01	1	map_lbfgs	12	192	0.6666666667	0.15	0	0	0.145865456	0.1194222284	0.3299674966	0.1474010071	0.1634009197	0.1218614611	0.1477490839	0.0005176236506	0.007818627956	0.9889908634	93.89788108	0.02376215767	0.02631473052	0.02338513595	300	300.8890002	93	0	0	NaN	94.01027692	94.01027692	93	NaN	5.400428744e-09	NaN	NaN	NaN	NaN
minimal	0.01	2	esmda	12	192	0.6666666667	0.15	0	0	0.1483583309	0.1223100989	0.3652406119	0.1503093555	0.1668520511	0.1310446812	0.142952998	0.0006467077509	0.008026017999	1.019717169	99.82301798	0.04006207196	0.05960852792	0.03826141788	1152	135.8387617	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.597522045	0.8235104689	0.953125
minimal	0.01	2	map_lbfgs	12	192	0.6666666667	0.15	0	0	0.147819299	0.1219052602	0.3302535763	0.1415619903	0.1632365826	0.1218597339	0.1608303668	0.0003324027827	0.007948862961	1.007290597	97.40489722	0.03184081841	0.02763831829	0.03192372163	300	300.3449998	143	0	0	NaN	97.8050991	97.8050991	143	NaN	3.224739025e-06	NaN	NaN	NaN	NaN
minimal	0.01	3	esmda	12	192	0.6666666667	0.15	0	0	0.1511747641	0.1232581621	0.3547529681	0.158015137	0.1674652871	0.1332058221	0.1437290516	0.001375029713	0.007563357914	0.9834134093	92.84178562	0.03934249058	0.05924964032	0.03749570222	1152	144.7315912	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5955389361	0.8215103005	0.9375
minimal	0.01	3	map_lbfgs	12	192	0.6666666667	0.15	0	0	0.1497046421	0.1212735843	0.3300138405	0.1467813292	0.1634013545	0.1218605763	0.1629452611	0.0009729102656	0.007451302508	0.9649686481	89.39179122	0.03063647268	0.02832646056	0.03063804122	300	300.9660001	128	0	0	NaN	89.52578771	89.52578771	128	NaN	8.573582032e-12	NaN	NaN	NaN	NaN
minimal	0.08	1	esmda	12	192	0.6666666667	0.15	0	0	0.150360747	0.1242757306	0.3698253257	0.1515903408	0.1697784775	0.1296672076	0.1477006073	0.0124369872	0.06311199962	1.045398315	104.9143331	0.04443106851	0.07203381759	0.04187522463	1152	138.4825062	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.6140112781	0.7829166607	0.9375
minimal	0.08	1	map_lbfgs	12	192	0.6666666667	0.15	0	0	0.1475413021	0.12015079	0.33	0.1471294611	0.1634013464	0.1218611497	0.1545203068	0.008356254165	0.06285733377	1.042640854	104.3615953	0.02630178857	0.03953386604	0.02501936762	300	30.68200016	14	0	0	NaN	104.4565791	104.4565791	14	NaN	0.0311956789	NaN	NaN	NaN	NaN
minimal	0.08	2	esmda	12	192	0.6666666667	0.15	0	0	0.151552047	0.1245472031	0.3704053295	0.1570129207	0.170472455	0.126207256	0.1490969656	0.01898748774	0.06627594968	1.155898339	128.2656931	0.0464735779	0.0822350585	0.04301762953	1152	133.0545914	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.6124924358	0.7933720317	0.9375
minimal	0.08	2	map_lbfgs	12	192	0.6666666667	0.15	0	0	0.1495064192	0.122001734	0.33	0.1502183855	0.1634013464	0.1218603212	0.1590382857	0.0176502886	0.06585514368	1.154970426	128.0598417	0.03385105048	0.06210304867	0.03098776625	300	40.18600011	18	0	0	NaN	128.421442	128.421442	18	NaN	0.1279993777	NaN	NaN	NaN	NaN
minimal	0.08	3	esmda	12	192	0.6666666667	0.15	0	0	0.1522582871	0.125865483	0.3624815741	0.1553655942	0.1719847315	0.1267922746	0.1514491577	0.02058554613	0.06340105167	1.190158885	135.9819045	0.04704287625	0.08427407229	0.043426592	1152	138.1027581	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.6130860111	0.7986907487	0.9375
