global_entry	entry_label	junction	junction_label	incoming_row	outgoing_col	source_road	target_road	incoming_road	outgoing_road	source_role	target_role	incoming_role	outgoing_role	source_observed	target_observed	incoming_observed	outgoing_observed	direct_observed_count	direct_observation_class	target_observation_distance	downstream_observation_class	truth	posterior_mean	posterior_median	posterior_q1	posterior_q3	ci05	ci95	ci_width	covered_by_ci90	signed_error	abs_error	normalized_ci_gap	large_error	source_mean_density	source_density_span	source_density_std	target_mean_density	target_density_span	target_density_std	raw_sensitivity	normalized_sensitivity	max_abs_normalized_sensitivity
21	J2 P21	2	J2 (top-right)	2	1	6	7	6	7	incoming	outgoing	incoming	outgoing	false	true	false	true	1	target observed	0	target observed	0.14	0.1219365911	0.09386705869	0.05910321196	0.1660856214	0.02078852228	0.3206895505	0.2999010282	true	-0.01806340893	0.01806340893	0	false	0.2845536438	0.7712284948	0.1772690845	0.288204893	0.7397657678	0.1503070668	0.04699806799	0.7580311953	9.441630638
22	J2 P22	2	J2 (top-right)	2	2	6	8	6	8	incoming	outgoing	incoming	outgoing	false	false	false	false	0	neither directly observed	Inf	no downstream observed road	0.1	0.2902028041	0.2745117941	0.1481692649	0.409202261	0.04810386782	0.6101422083	0.5620383405	true	0.1902028041	0.1902028041	0	false	0.2845536438	0.7712284948	0.1772690845	0.2715329403	0.7394210307	0.1496575747	0.01258004444	0.1988213966	6.20914677
23	J2 P23	2	J2 (top-right)	2	3	6	18	6	18	incoming	internal	incoming	internal	false	false	false	false	0	neither directly observed	1	observed after 1 turn	0.56	0.2743860777	0.2386814594	0.1154308133	0.4129646103	0.02579531835	0.616440156	0.5906448377	true	-0.2856139223	0.2856139223	0	false	0.2845536438	0.7712284948	0.1772690845	0.3172558361	0.6814292926	0.1541306353	0.02573190658	0.4066801068	12.70052813
24	J2 P24	2	J2 (top-right)	2	4	6	21	6	21	incoming	internal	incoming	internal	false	true	false	true	1	target observed	0	target observed	0.2	0.3134745271	0.3142435078	0.2398436578	0.3940093068	0.1420019257	0.5020105381	0.3600086124	true	0.1134745271	0.1134745271	0	false	0.2845536438	0.7712284948	0.1772690845	0.3205235704	0.6944289559	0.1561874264	0.06576276181	1.052962079	27.94116905
25	J2 P31	2	J2 (top-right)	3	1	17	7	17	7	internal	outgoing	internal	outgoing	true	true	true	true	2	source+target observed	0	target observed	0.48	0.1902472947	0.1688370342	0.0931142565	0.2720733178	0.0362068725	0.4093351678	0.3731282953	false	-0.2897527053	0.2897527053	0.1893848123	false	0.3022673095	0.6671447152	0.1513611044	0.288204893	0.7397657678	0.1503070668	0.05289010403	0.8489583817	11.60725981
26	J2 P32	2	J2 (top-right)	3	2	17	8	17	8	internal	outgoing	internal	outgoing	true	false	true	false	1	source observed	Inf	no downstream observed road	0.2	0.2723054327	0.2433781587	0.1317350356	0.3769879741	0.03316103186	0.590725725	0.5575646932	true	0.07230543272	0.07230543272	0	false	0.3022673095	0.6671447152	0.1513611044	0.2715329403	0.7394210307	0.1496575747	0.0218943934	0.3419356893	7.544718632
27	J2 P33	2	J2 (top-right)	3	3	17	18	17	18	internal	internal	internal	internal	true	false	true	false	1	source observed	1	observed after 1 turn	0.08	0.2627617932	0.2555540283	0.1182415793	0.3696111584	0.04262653053	0.5504464449	0.5078199144	true	0.1827617932	0.1827617932	0	false	0.3022673095	0.6671447152	0.1513611044	0.3172558361	0.6814292926	0.1541306353	0.01903860328	0.2973353857	6.560624859
28	J2 P34	2	J2 (top-right)	3	4	17	21	17	21	internal	internal	internal	internal	true	true	true	true	2	source+target observed	0	target observed	0.24	0.2746854794	0.2698204966	0.2109706495	0.319598181	0.1289286632	0.4470298707	0.3181012075	true	0.03468547938	0.03468547938	0	false	0.3022673095	0.6671447152	0.1513611044	0.3205235704	0.6944289559	0.1561874264	0.07005092085	1.121869618	25.1490681
29	J2 P41	2	J2 (top-right)	4	1	22	7	22	7	internal	outgoing	internal	outgoing	false	true	false	true	1	target observed	0	target observed	0.18	0.2890127011	0.2499690122	0.158849476	0.4065875127	0.04992499665	0.6209500919	0.5710250953	true	0.1090127011	0.1090127011	0	false	0.3266857155	0.6904146233	0.1574009113	0.288204893	0.7397657678	0.1503070668	0.02970270877	0.4798312527	6.068035377
30	J2 P42	2	J2 (top-right)	4	2	22	8	22	8	internal	outgoing	internal	outgoing	false	false	false	false	0	neither directly observed	Inf	no downstream observed road	0.42	0.2380704114	0.1967479512	0.08649159792	0.3657528689	0.02444354724	0.570039923	0.5455963757	true	-0.1819295886	0.1819295886	0	false	0.3266857155	0.6904146233	0.1574009113	0.2715329403	0.7394210307	0.1496575747	0.008448254025	0.1334325544	3.372479529
