row_label	junction	incoming_row	source_road	source_observed	row_tv_error	observed_road	observed_road_role	observed_road_is_source	observed_road_is_target	post_fit_normalized_rmse	swap_fit_normalized_rmse	fit_normalized_improvement	post_truth_rmse	swap_truth_rmse	truth_rmse_improvement	swap_visibility_normalized
J3 row 4	3	4	24	true	0.2160830544	15	outgoing	false	false	1.642083079	1.642082618	4.616639051e-07	0.00780263815	0.007802644409	-6.259009235e-09	7.705592655e-06
J3 row 4	3	4	24	true	0.2160830544	17	internal	false	false	2.070376407	2.070376407	0	0.09355436363	0.09355436363	0	0
J3 row 4	3	4	24	true	0.2160830544	21	internal	false	false	1.220621584	1.220621584	0	0.01577777346	0.01577777346	0	0
J3 row 4	3	4	24	true	0.2160830544	24	internal	true	false	1.188725865	1.240405524	-0.05167965976	0.01569990493	0.02795288634	-0.01225298141	0.2142698294
J4 row 1	4	1	13	false	0.3480934246	2	incoming	false	false	1.746413128	1.746413128	0	0.003066917112	0.003066917112	0	0
J4 row 1	4	1	13	false	0.3480934246	4	outgoing	false	false	1.104954401	1.104954401	0	0.004001227309	0.004001227309	0	0
J4 row 1	4	1	13	false	0.3480934246	7	outgoing	false	false	1.38924159	1.38924159	5.457856389e-13	0.007265733469	0.007265733469	2.563921297e-15	3.420410365e-11
J4 row 1	4	1	13	false	0.3480934246	9	incoming	false	false	1.432782793	1.432782793	7.327471963e-15	0.007858884076	0.007858884076	-3.798142356e-13	1.229317324e-11
J4 row 1	4	1	13	false	0.3480934246	14	incoming	false	false	1.307745982	1.288922587	0.01882339581	0.01462098435	0.01509046921	-0.000469484862	0.4422426823
J4 row 1	4	1	13	false	0.3480934246	15	outgoing	false	true	1.642083079	1.630340687	0.01174239212	0.00780263815	0.01904344821	-0.01124081006	0.4003130645
J4 row 1	4	1	13	false	0.3480934246	17	internal	false	false	2.070376407	2.070376407	0	0.09355436363	0.09355436363	0	0
J4 row 1	4	1	13	false	0.3480934246	21	internal	false	false	1.220621584	1.223070147	-0.002448562591	0.01577777346	0.01458439659	0.001193376876	0.3993332136
J4 row 1	4	1	13	false	0.3480934246	24	internal	false	true	1.188725865	1.303880292	-0.1151544269	0.01569990493	0.04057951221	-0.02487960728	0.6439755426
J4 row 2	4	2	14	true	0.2565175974	2	incoming	false	false	1.746413128	1.746413128	0	0.003066917112	0.003066917112	0	0
J4 row 2	4	2	14	true	0.2565175974	4	outgoing	false	false	1.104954401	1.104954401	0	0.004001227309	0.004001227309	0	0
J4 row 2	4	2	14	true	0.2565175974	7	outgoing	false	false	1.38924159	1.38924159	-1.651567771e-12	0.007265733469	0.007265733469	9.806218337e-14	1.120936187e-10
J4 row 2	4	2	14	true	0.2565175974	9	incoming	false	false	1.432782793	1.432782793	0	0.007858884076	0.007858884076	3.110359192e-15	1.036674399e-13
J4 row 2	4	2	14	true	0.2565175974	14	incoming	true	false	1.307745982	1.298951264	0.008794718595	0.01462098435	0.01287289702	0.001748087331	0.03662651025
J4 row 2	4	2	14	true	0.2565175974	15	outgoing	false	true	1.642083079	1.662815232	-0.02073215217	0.00780263815	0.01255686556	-0.004754227408	0.1305559343
J4 row 2	4	2	14	true	0.2565175974	17	internal	false	false	2.070376407	2.070376407	0	0.09355436363	0.09355436363	0	0
J4 row 2	4	2	14	true	0.2565175974	21	internal	false	false	1.220621584	1.214996633	0.005624951314	0.01577777346	0.0132690475	0.002508725965	0.03573701245
J4 row 2	4	2	14	true	0.2565175974	24	internal	false	true	1.188725865	1.371726116	-0.1830002517	0.01569990493	0.03747177209	-0.02177186716	0.5608604698
