road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
711,8,34,0.2205882353,0.3024997962,0.3024997962,0
711,9,34,0.25,0.296353413,0.296353413,0
711,10,34,0.2794117647,0.2891989963,0.2891989963,0
711,11,34,0.3088235294,0.2812444855,0.2812444855,0
711,12,34,0.3382352941,0.2727226706,0.2727226706,0
711,13,34,0.3676470588,0.2638715722,0.2638715722,0
711,14,34,0.3970588235,0.2549286014,0.2549286014,0
711,15,34,0.4264705882,0.2461284767,0.2461284767,0
711,16,34,0.4558823529,0.2377020763,0.2377020763,0
711,17,34,0.4852941176,0.2298753295,0.2298753295,0
711,18,34,0.5147058824,0.2228677011,0.2228677011,0
711,19,34,0.5441176471,0.2168899185,0.2168899185,0
711,20,34,0.5735294118,0.2121406061,0.2121406061,0
711,21,34,0.6029411765,0.2088014954,0.2088014954,0
711,22,34,0.6323529412,0.2070309108,0.2070309108,0
711,23,34,0.6617647059,0.2069553253,0.2069553253,0
711,24,34,0.6911764706,0.2086589767,0.2086589767,0
711,25,34,0.7205882353,0.2121718928,0.2121718928,0
711,26,34,0.75,0.2174572147,0.2174572147,0
711,27,34,0.7794117647,0.2243994225,0.2243994225,0
711,28,34,0.8088235294,0.2327958358,0.2327958358,0
711,29,34,0.8382352941,0.2423543238,0.2423543238,0
711,30,34,0.8676470588,0.2527001211,0.2527001211,0
711,31,34,0.8970588235,0.2633936176,0.2633936176,0
711,32,34,0.9264705882,0.2739588452,0.2739588452,0
711,33,34,0.9558823529,0.2839195365,0.2839195365,0
711,34,34,0.9852941176,0.2947492656,0.2947492656,0
712,1,5,0.1,0.1181517208,0.1181517208,0
712,2,5,0.3,0.1191961526,0.1191961526,0
712,3,5,0.5,0.1205888454,0.1205888454,0
712,4,5,0.7,0.1233462828,0.1233462828,0
712,5,5,0.9,0.1311466287,0.1311466287,0
713,1,5,0.1,0.1297521006,0.1297521006,0
713,2,5,0.3,0.1428095075,0.1428095075,0
713,3,5,0.5,0.1596862148,0.1596862148,0
713,4,5,0.7,0.1770180459,0.1770180459,0
713,5,5,0.9,0.1915688118,0.1915688118,0
714,1,8,0.0625,0.2960901848,0.2960901848,0
714,2,8,0.1875,0.2850146631,0.2850146631,0
714,3,8,0.3125,0.2728338793,0.2728338793,0
714,4,8,0.4375,0.2609470259,0.2609470259,0
714,5,8,0.5625,0.2507565032,0.2507565032,0
