entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	mean	median	q05	q25	q75	q95	mean_abs_error	width90	covered90
92	29	RB18	roundabout	485	2	798	794	3	3	0.2003633456	0.2790057565	0.2589777687	0.07685122463	0.18398971	0.3760438942	0.5767243204	0.07864241091	0.4998730958	true
93	30	RB19	roundabout	486	1	777	797	1	1	0.6632352944	0.7087870301	0.7098649183	0.5386225175	0.6324174327	0.7801972646	0.8696329711	0.04555173575	0.3310104536	true
94	30	RB19	roundabout	486	1	777	798	2	2	0.3367647056	0.2912129699	0.2893674287	0.1303670289	0.2148559872	0.3613590144	0.4613774825	0.04555173575	0.3310104536	true
95	31	RB19	roundabout	486	2	799	797	1	1	0.6283055034	0.59586912	0.6135880783	0.2960839286	0.4533324329	0.7479196173	0.835535018	0.03243638341	0.5394510893	true
96	31	RB19	roundabout	486	2	799	798	2	2	0.3716944966	0.40413088	0.3808445082	0.164464982	0.2515489518	0.5217465304	0.7039160714	0.03243638341	0.5394510893	true
97	32	RB20	roundabout	487	1	768	771	1	1	0.2618012881	0.1989659752	0.1544399009	0.01134041956	0.06969889769	0.2739028775	0.4735363914	0.06283531297	0.4621959718	true
98	32	RB20	roundabout	487	1	768	772	2	2	0.21502642	0.288788104	0.2517913822	0.02674242161	0.07974655031	0.4309755164	0.7544574349	0.07376168395	0.7277150133	true
99	32	RB20	roundabout	487	1	768	775	3	3	0.1757039465	0.1971440575	0.113823846	0.02057990587	0.06616087967	0.2439530388	0.5891002041	0.02144011101	0.5685202983	true
100	32	RB20	roundabout	487	1	768	776	4	4	0.1452665893	0.1928824953	0.1440913458	0.01613927743	0.04363106345	0.2889524352	0.4793926761	0.04761590605	0.4632533987	true
101	32	RB20	roundabout	487	1	768	777	5	5	0.2022017561	0.1222193681	0.1049533122	0.03690346937	0.07440822001	0.1540749528	0.2657918218	0.07998238805	0.2288883524	true
102	33	RB23	roundabout	490	1	548	551	1	1	0.3462674085	0.4427649358	0.3586817539	0.06904397087	0.2404769918	0.6826003284	0.871900218	0.09649752722	0.8028562471	true
103	33	RB23	roundabout	490	1	548	552	2	2	0.2844559279	0.3206236017	0.2762591587	0.03115510316	0.08707568389	0.5294050008	0.7828804112	0.03616767375	0.751725308	true
104	33	RB23	roundabout	490	1	548	557	3	3	0.3692766635	0.2366114626	0.1967416491	0.04134489164	0.1058237679	0.3435760561	0.5433212417	0.132665201	0.50197635	true
105	34	RB23	roundabout	490	2	553	551	1	1	0.3021528261	0.3891581991	0.360161826	0.09705563833	0.1943455092	0.5359049856	0.7943507218	0.08700537293	0.6972950835	true
106	34	RB23	roundabout	490	2	553	552	2	2	0.2590793295	0.2919281072	0.2613570346	0.04248378095	0.1246680022	0.4268210447	0.607043665	0.0328487777	0.564559884	true
107	34	RB23	roundabout	490	2	553	557	3	3	0.4387678443	0.3189136937	0.2724735088	0.1055678544	0.1779947727	0.389819623	0.6403063243	0.1198541506	0.5347384699	true
108	35	RB24	roundabout	491	1	562	561	1	1	0.354151074	0.4680690894	0.4811092363	0.1022899976	0.241953516	0.6386379124	0.8373608607	0.1139180154	0.7350708631	true
109	35	RB24	roundabout	491	1	562	564	2	2	0.645848926	0.5319309106	0.5135199872	0.1626391393	0.3382234676	0.7313238978	0.8977100024	0.1139180154	0.7350708631	true
110	36	RB24	roundabout	491	2	567	561	1	1	0.3321790666	0.5913735239	0.5997356473	0.2607333585	0.424454215	0.7620030457	0.882440135	0.2591944573	0.6217067764	true
111	36	RB24	roundabout	491	2	567	564	2	2	0.6678209334	0.4086264761	0.3960888131	0.117559865	0.2357643864	0.5580996831	0.7392666415	0.2591944573	0.6217067764	true
112	37	RB28	roundabout	495	1	108	115	1	1	0.0597532262	0.2418391553	0.1688202097	0.04147458273	0.09765007434	0.3515301211	0.6436196406	0.1820859291	0.6021450579	true
113	37	RB28	roundabout	495	1	108	116	2	2	0.06637418218	0.3227270095	0.3000725493	0.05468101672	0.1394919016	0.4721026538	0.7242114105	0.2563528273	0.6695303938	true
114	37	RB28	roundabout	495	1	108	123	3	4	0.07712541654	0.2419792136	0.1928046948	0.02871336824	0.08486671687	0.3934393781	0.5768348428	0.164853797	0.5481214746	true
115	37	RB28	roundabout	495	1	108	130	4	5	0.7967471751	0.1934546216	0.1842168721	0.04600299102	0.1105176395	0.2526908986	0.3999895707	0.6032925535	0.3539865797	false
116	38	RB28	roundabout	495	2	122	115	1	1	0.0684116138	0.1989278529	0.1344474412	0.02451732474	0.05620903626	0.2797835247	0.5852060433	0.1305162391	0.5606887185	true
117	38	RB28	roundabout	495	2	122	116	2	2	0.0812487774	0.2880496623	0.2389713458	0.0266913171	0.1037745938	0.4344473268	0.6003364197	0.2068008849	0.5736451026	true
118	38	RB28	roundabout	495	2	122	117	3	3	0.09876736801	0.2507581375	0.1663321506	0.02711650673	0.0864702521	0.331175056	0.7241524567	0.1519907695	0.69703595	true
119	38	RB28	roundabout	495	2	122	130	4	5	0.7515722408	0.2622643473	0.2268205779	0.08442345088	0.1617737779	0.3533226835	0.4910153333	0.4893078935	0.4065918825	false
120	39	RB28	roundabout	495	3	125	115	1	1	0.1618176795	0.1390923702	0.07405021496	0.01509799327	0.04145710019	0.1797178431	0.4185903475	0.02272530927	0.4034923542	true
121	39	RB28	roundabout	495	3	125	116	2	2	0.09897722401	0.2081424627	0.1648661231	0.008403921785	0.04010418759	0.2937088662	0.5298323526	0.1091652387	0.5214284308	true
122	39	RB28	roundabout	495	3	125	117	3	3	0.1206537795	0.2495788659	0.1818161628	0.02681760941	0.09357934384	0.3539492957	0.7086374312	0.1289250864	0.6818198218	true
123	39	RB28	roundabout	495	3	125	123	4	4	0.1441552394	0.2707192456	0.2013095985	0.0328065467	0.07536968376	0.4597550791	0.6339241537	0.1265640062	0.601117607	true
124	39	RB28	roundabout	495	3	125	130	5	5	0.4743960777	0.1324670557	0.1211828522	0.04497213558	0.07905965209	0.1815346647	0.2548374702	0.341929022	0.2098653346	false
125	40	RB28	roundabout	495	4	151	115	1	1	0.1047798359	0.2218093723	0.1828688145	0.0175099634	0.07982173274	0.3165289077	0.5655542909	0.1170295364	0.5480443275	true
126	40	RB28	roundabout	495	4	151	116	2	2	0.1263820033	0.2974226342	0.2220179655	0.04192372189	0.129319186	0.4194579271	0.7090893724	0.1710406309	0.6671656506	true
127	40	RB28	roundabout	495	4	151	117	3	3	0.1479954726	0.2934087298	0.2462265495	0.0434700755	0.1300060295	0.4178826128	0.7224794966	0.1454132572	0.6790094211	true
128	40	RB28	roundabout	495	4	151	130	4	5	0.6208426882	0.1873592637	0.1768874517	0.07392266941	0.1065198787	0.2460386767	0.3748228899	0.4334834245	0.3009002205	false
129	41	RB29	roundabout	496	1	130	151	1	1	0.4035299007	0.5423650914	0.5758716589	0.140984185	0.3940788975	0.6896916484	0.8741995437	0.1388351907	0.7332153587	true
130	41	RB29	roundabout	496	1	130	154	2	2	0.5964700993	0.4576349086	0.4171780521	0.1258004563	0.3099808361	0.5758013527	0.859015815	0.1388351907	0.7332153587	true
131	42	RB29	roundabout	496	2	149	151	1	1	0.8167737525	0.519480166	0.5221019293	0.14180607	0.308501592	0.658047352	0.8796410133	0.2972935865	0.7378349433	true
132	42	RB29	roundabout	496	2	149	154	2	2	0.1832262475	0.480519834	0.4586613309	0.1203589867	0.3375169049	0.6894326936	0.85819393	0.2972935865	0.7378349433	true
133	43	RB29	roundabout	496	3	155	151	1	1	0.8242018087	0.5123756183	0.489844032	0.1238317366	0.3194367579	0.6720323335	0.9099785237	0.3118261904	0.7861467871	true
134	43	RB29	roundabout	496	3	155	154	2	2	0.1757981913	0.4876243817	0.4811903246	0.09002147628	0.3174402372	0.6725779801	0.8761682634	0.3118261904	0.7861467871	true
135	44	RB30	roundabout	497	1	93	101	1	1	0.3153225725	0.3207101047	0.245949797	0.03758353555	0.1048375564	0.5088934313	0.6821927295	0.005387532237	0.644609194	true
136	44	RB30	roundabout	497	1	93	102	2	2	0.2770249858	0.2608321442	0.2168110339	0.03399425761	0.08835690422	0.3628279017	0.7270783284	0.01619284161	0.6930840708	true
137	44	RB30	roundabout	497	1	93	106	3	3	0.2340617563	0.1941260737	0.1489207858	0.01576736388	0.07783449794	0.2565132037	0.5181621902	0.0399356826	0.5023948263	true
138	44	RB30	roundabout	497	1	93	108	4	4	0.1735906854	0.2243316773	0.2002180571	0.07119859926	0.1337632129	0.2819830193	0.4322426333	0.05074099197	0.361044034	true
139	45	RB30	roundabout	497	2	117	101	1	1	0.3122290488	0.2611580283	0.1890570464	0.03621325247	0.09013406747	0.4039503949	0.7305479761	0.05107102047	0.6943347236	true
140	45	RB30	roundabout	497	2	117	102	2	2	0.2592788299	0.3065956668	0.2869695472	0.05943759224	0.1313686416	0.4682436659	0.5978477653	0.04731683691	0.5384101731	true
141	45	RB30	roundabout	497	2	117	106	3	3	0.2120829778	0.2309373457	0.1733472925	0.01865552633	0.0854788992	0.330797435	0.5722185441	0.01885436786	0.5535630178	true
142	45	RB30	roundabout	497	2	117	108	4	4	0.2164091434	0.2013089591	0.193029313	0.07431109484	0.135867802	0.2380959378	0.3486070585	0.01510018429	0.2742959637	true
